series,episodes,premiere,finale,winner,host,judge_1,judge_2
1,4,2013-04-02,2013-04-23,Ann Rowley,Claudia Winkleman,Patrick Grant,May Martin
2,8,2014-02-18,2014-04-08,Heather Jacks,Claudia Winkleman,Patrick Grant,May Martin
3,6,2015-02-05,2015-03-12,Matt Chapple,Claudia Winkleman,Patrick Grant,May Martin
4,8,2016-05-16,2016-07-04,Charlotte Newland,Claudia Winkleman,Patrick Grant,Esme Young
5,8,2019-02-12,2019-04-02,Juliet Uzor,Joe Lycett,Patrick Grant,Esme Young
6,10,2020-04-22,2020-06-24,Clare Bradley,Joe Lycett,Patrick Grant,Esme Young
7,10,2021-04-14,2021-06-16,Serena Baker,Joe Lycett,Patrick Grant,Esme Young
8,10,2022-04-27,2022-06-29,Annie Phillips,Sara Pascoe,Patrick Grant,Esme Young
9,10,2023-05-24,2023-07-26,Asmaa Al-Allak,Sara Pascoe,Patrick Grant,Esme Young
10,10,2024-05-21,2024-07-24,Luke-Matthew Iveson,Kiell Smith-Bynoe,Patrick Grant,Esme Young
